"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN"
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","0.00","E, 18, 26, 31","5.20","E, 19, 26, 31","0.00","E, 20, 26, 31","0.00","E, 21, 26, 31","0.00","E, 22, 26, 31"
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","4.50","E, 19, 26, 31","","","","","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","6.00","E, 19, 26, 31","","","","","",""
"7","7.2","7.2.1","C070201","Renewable energy share in the total final energy consumption","EG_FEC_RNEW","SD","Renewable energy share in the total final energy consumption","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","0.11","NA, 20","0.11","NA, 21","0.27","NA, 22"
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_MARIN","SD","Coverage of protected areas in relation to marine areas","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","",""
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_MARINT","+","Coverage of protected areas in relation to marine areas","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Square kilometers","Units","","","","","","","","","",""
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_TOTL","+","Coverage of protected areas in relation to marine areas","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Square kilometers","Units","","","","","","","","","",""
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","41.87","C, 18, 28","41.87","C, 19, 28","41.87","C, 20, 28","41.87","C, 21, 28","41.87","C, 22, 28"
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","41.87","C, 18, 28","41.87","C, 19, 28","41.87","C, 20, 28","41.87","C, 21, 28","41.87","C, 22, 28"
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","41.87","C, 18, 28","41.87","C, 19, 28","41.87","C, 20, 28","41.87","C, 21, 28","41.87","C, 22, 28"
"15","15.5","15.5.1","C150501","Red List Index","ER_RSK_LST","SD","Red List Index","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Not applicable","Units","0.87","E, 18, 29","0.87","E, 19, 29","0.87","E, 20, 29","0.87","E, 21, 29","0.87","E, 22, 29"
"15","15.5","15.5.1","C150501","Red List Index","ER_RSK_LST","SD","Red List Index","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Not applicable","Units","0.87","E, 18, 29","0.87","E, 19, 29","0.87","E, 20, 29","0.87","E, 21, 29","0.87","E, 22, 29"
"15","15.5","15.5.1","C150501","Red List Index","ER_RSK_LST","SD","Red List Index","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Not applicable","Units","0.87","E, 18, 29","0.87","E, 19, 29","0.87","E, 20, 29","0.87","E, 21, 29","0.87","E, 22, 29"
"17","17.19","17.19.2","C171902","Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration","SG_REG_CENSUSN","+","Number of countries that have conducted at least one population and housing census in the last 10 years","MDG_LAC_CAR","BES","Bonaire, Sint Eustatius and Saba","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","1.00","C, 19, 30, 33","","","","","",""