"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN"
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.90","E, 18, 26, 40","0.76","E, 19, 26, 40","0.75","E, 20, 26, 40","1.50","E, 21, 26, 40","3.70","E, 22, 26, 40"
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.30","E, 18, 26, 40","0.66","E, 19, 26, 40","0.65","E, 20, 26, 40","1.30","E, 21, 26, 40","3.20","E, 22, 26, 40"
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.50","E, 18, 26, 40","0.88","E, 19, 26, 40","0.87","E, 20, 26, 40","1.70","E, 21, 26, 40","4.30","E, 22, 26, 40"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","46.70","C, 9, 27","","","","","","","","","","","","","","","","","","","34.90","C, 19, 28","","","","","",""
"4","4.a","4.a.1","C040a01","Proportion of schools with access to: (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)","SE_LSC_ELECT","SD","Proportion of schools with access to electricity, lower secondary level","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 18, 29","","","","","","","",""
"4","4.a","4.a.1","C040a01","Proportion of schools with access to: (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)","SE_PRM_ELECT","SD","Proportion of schools with access to electricity, primary level","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 18, 29","","","","","","","",""
"4","4.a","4.a.1","C040a01","Proportion of schools with access to: (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)","SE_USC_ELECT","SD","Proportion of schools with access to electricity, upper secondary level","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 18, 29","","","","","","","",""
"6","6.2","6.2.1","C060201","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","SH_SAN_DEFECT","+","Proportion of population practicing open defecation","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.38","E, 15, 30","0.38","E, 16, 30","0.38","E, 17, 30","0.38","E, 18, 30","0.38","E, 19, 30","0.38","E, 20, 30","0.38","E, 21, 30","0.38","E, 22, 30"
"7","7.1","7.1.1","C070101","Proportion of population with access to electricity","EG_ELC_ACCS","SD","Proportion of population with access to electricity","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Other","All age ranges or no breakdown by age","Rural","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","100.00","M, 8","100.00","M, 9","100.00","M, 10","100.00","M, 11","100.00","M, 12","100.00","M, 13","100.00","M, 14","100.00","M, 15","100.00","M, 16","100.00","M, 17","100.00","M, 18","100.00","M, 19","100.00","M, 20","100.00","M, 21","100.00","M, 22"
"7","7.1","7.1.1","C070101","Proportion of population with access to electricity","EG_ELC_ACCS","SD","Proportion of population with access to electricity","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","100.00","M, 8","100.00","M, 9","100.00","M, 10","100.00","M, 11","100.00","M, 12","100.00","M, 13","100.00","M, 14","100.00","M, 15","100.00","M, 16","100.00","M, 17","100.00","M, 18","100.00","M, 19","100.00","M, 20","100.00","M, 21","100.00","M, 22"
"7","7.1","7.1.1","C070101","Proportion of population with access to electricity","EG_ELC_ACCS","SD","Proportion of population with access to electricity","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Other","All age ranges or no breakdown by age","Urban","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","100.00","M, 8","100.00","M, 9","100.00","M, 10","100.00","M, 11","100.00","M, 12","100.00","M, 13","100.00","M, 14","100.00","M, 15","100.00","M, 16","100.00","M, 17","100.00","M, 18","100.00","M, 19","100.00","M, 20","100.00","M, 21","100.00","M, 22"
"7","7.2","7.2.1","C070201","Renewable energy share in the total final energy consumption","EG_FEC_RNEW","SD","Renewable energy share in the total final energy consumption","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.07","NA, 8","0.28","NA, 9","0.27","NA, 10","0.27","NA, 11","0.27","NA, 12","0.26","NA, 13","0.25","NA, 14","0.25","NA, 15","0.24","NA, 16","0.25","NA, 17","0.24","NA, 18","0.24","NA, 19","0.36","NA, 20","0.36","NA, 21","0.35","NA, 22"
"8","8.1","8.1.1","C080101","Annual growth rate of real GDP per capita","NY_GDP_PCAP","SD","Growth rate of real GDP per capita","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.31","CA, 14, 31","-0.28","CA, 15, 31","-0.93","CA, 16, 31","-3.42","CA, 17, 31","-2.36","CA, 18, 31","-1.28","CA, 19, 31","-1.57","CA, 20, 31","-1.88","CA, 21, 31","-2.06","CA, 22, 31"
"9","9.4","9.4.1","C090401","CO2 emission per unit of value added","EN_ATM_CO2","+","Emissions of carbon dioxide","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Millions","","","","","","","","","","","","","","","","","","","","","5.61","C, 8, 32","5.68","C, 9, 32","5.43","C, 10, 32","5.44","C, 11, 32","5.68","C, 12, 32","5.99","C, 13, 32","5.89","C, 14, 32","6.40","C, 15, 32","6.33","C, 16, 32","5.93","C, 17, 32","4.38","C, 18, 32","5.50","C, 19, 32","4.54","C, 20, 32","4.41","C, 21, 32","4.75","C, 22, 32"
"9","9.4","9.4.1","C090401","CO2 emission per unit of value added","EN_ATM_CO2GDP","+","Emissions of carbon dioxide per unit of GDP (PPP)","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","kg CO2 equivalent per USD1 constant 2005 PPP GDP","Units","","","","","","","","","","","","","","","","","","","","","2.67","C, 8, 32","2.65","C, 9, 32","2.53","C, 10, 32","2.53","C, 11, 32","2.58","C, 12, 32","2.67","C, 13, 32","2.54","C, 14, 32","2.65","C, 15, 32","2.58","C, 16, 32","2.51","C, 17, 32","1.82","C, 18, 32","2.26","C, 19, 32","2.76","C, 20, 32","2.66","C, 21, 32","2.82","C, 22, 32"
"9","9.c","9.c.1","C090c01","Proportion of population covered by a mobile network, by technology","IT_MOB_3GNTWK","SD","Proportion of population covered by at least a 3G mobile network","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.00","16, 33","","","","","","","","","","","",""
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_MARIN","SD","Coverage of protected areas in relation to marine areas","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_MARINT","+","Coverage of protected areas in relation to marine areas","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Square kilometers","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_TOTL","+","Coverage of protected areas in relation to marine areas","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Square kilometers","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","6.07","C, 8, 35","6.07","C, 9, 35","6.07","C, 10, 35","6.07","C, 11, 35","6.07","C, 12, 35","6.07","C, 13, 35","6.07","C, 14, 35","6.07","C, 15, 35","6.07","C, 16, 35","6.07","C, 17, 35","6.07","C, 18, 35","6.07","C, 19, 35","6.07","C, 20, 35","40.41","C, 21, 35","40.41","C, 22, 35"
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","6.07","C, 8, 35","6.07","C, 9, 35","6.07","C, 10, 35","6.07","C, 11, 35","6.07","C, 12, 35","6.07","C, 13, 35","6.07","C, 14, 35","6.07","C, 15, 35","6.07","C, 16, 35","6.07","C, 17, 35","6.07","C, 18, 35","6.07","C, 19, 35","6.07","C, 20, 35","40.41","C, 21, 35","40.41","C, 22, 35"
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","6.07","C, 8, 35","6.07","C, 9, 35","6.07","C, 10, 35","6.07","C, 11, 35","6.07","C, 12, 35","6.07","C, 13, 35","6.07","C, 14, 35","6.07","C, 15, 35","6.07","C, 16, 35","6.07","C, 17, 35","6.07","C, 18, 35","6.07","C, 19, 35","6.07","C, 20, 35","40.41","C, 21, 35","40.41","C, 22, 35"
"15","15.5","15.5.1","C150501","Red List Index","ER_RSK_LST","SD","Red List Index","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Not applicable","Units","","","","","","","0.82","E, 1, 36","0.82","E, 2, 36","0.82","E, 3, 36","0.82","E, 4, 36","0.82","E, 5, 36","0.82","E, 6, 36","0.82","E, 7, 36","0.82","E, 8, 36","0.82","E, 9, 36","0.82","E, 10, 36","0.82","E, 11, 36","0.82","E, 12, 36","0.82","E, 13, 36","0.82","E, 14, 36","0.82","E, 15, 36","0.82","E, 16, 36","0.82","E, 17, 36","0.82","E, 18, 36","0.82","E, 19, 36","0.82","E, 20, 36","0.82","E, 21, 36","0.82","E, 22, 36"
"15","15.5","15.5.1","C150501","Red List Index","ER_RSK_LST","SD","Red List Index","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Not applicable","Units","","","","","","","0.82","E, 1, 36","0.82","E, 2, 36","0.82","E, 3, 36","0.82","E, 4, 36","0.82","E, 5, 36","0.82","E, 6, 36","0.82","E, 7, 36","0.82","E, 8, 36","0.82","E, 9, 36","0.82","E, 10, 36","0.82","E, 11, 36","0.82","E, 12, 36","0.82","E, 13, 36","0.82","E, 14, 36","0.82","E, 15, 36","0.82","E, 16, 36","0.82","E, 17, 36","0.82","E, 18, 36","0.82","E, 19, 36","0.82","E, 20, 36","0.82","E, 21, 36","0.82","E, 22, 36"
"15","15.5","15.5.1","C150501","Red List Index","ER_RSK_LST","SD","Red List Index","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Not applicable","Units","","","","","","","0.82","E, 1, 36","0.82","E, 2, 36","0.82","E, 3, 36","0.82","E, 4, 36","0.82","E, 5, 36","0.82","E, 6, 36","0.82","E, 7, 36","0.82","E, 8, 36","0.82","E, 9, 36","0.82","E, 10, 36","0.82","E, 11, 36","0.82","E, 12, 36","0.82","E, 13, 36","0.82","E, 14, 36","0.82","E, 15, 36","0.82","E, 16, 36","0.82","E, 17, 36","0.82","E, 18, 36","0.82","E, 19, 36","0.82","E, 20, 36","0.82","E, 21, 36","0.82","E, 22, 36"
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BBND","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.99","NA, 19, 37","22.91","NA, 20, 37","23.31","NA, 21, 37, 41","23.89","NA, 22, 37"
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BBNDN","+","Fixed Internet broadband Subscriptions per 100 inhabitants","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31,800.00","NA, 19, 37","35,582.00","NA, 20, 37","37,000.00","NA, 21, 37, 41","38,663.00","NA, 22, 37"
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD10MB","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.54","NA, 20, 37, 42","","","13.30","NA, 22, 37"
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD10MBN","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17,917.00","NA, 20, 37, 42","","","21,522.00","NA, 22, 37"
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD256KL2M","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.45","NA, 20, 37","","","0.00","NA, 22, 37"
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD256KL2MN","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705.00","NA, 20, 37","","","2.00","NA, 22, 37"
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD2L10MB","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.92","NA, 20, 37","","","10.59","NA, 22, 37"
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD2L10MBN","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15,407.00","NA, 20, 37","","","17,139.00","NA, 22, 37"
"17","17.19","17.19.2","C171902","Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration","SG_REG_BRTH90N","+","Number of countries with birth registration data that are at least 90 percent complete","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","17.19","17.19.2","C171902","Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration","SG_REG_CENSUSN","+","Number of countries that have conducted at least one population and housing census in the last 10 years","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 19, 38, 44","","","","","",""
"17","17.19","17.19.2","C171902","Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration","SG_REG_DETH75N","+","Number of countries with death registration data that are at least 75 percent complete","MDG_LAC_CAR","CUW","Curaçao","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""