"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN"
"2","2.1","2.1.1","C020101","Prevalence of undernourishment","SN_ITK_DEFC","SD","Prevalence of undernourishment","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","<5.0","E, 28, 46","<5.0","E, 29, 46","<5.0","E, 30, 46","<5.0","E, 31, 46","<5.0","E, 32, 46","<5.0","E, 33, 46","<5.0","E, 34, 46","<5.0","E, 35, 46","<5.0","E, 36, 46","<5.0","E, 37, 46","<5.0","E, 38, 46","<5.0","E, 39, 46","<5.0","E, 40, 46"
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_LSC_GPITCH","SD","Gender parity index of teachers in lower secondary education who are trained","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","0.96","C, 2, 47","1.00","C, 3, 47","","","","","","","","","","","","","1.15","C, 10, 47","1.04","C, 11, 47","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_PRM_GPITCH","SD","Gender parity index of teachers in primary education who are trained","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","0.99","C, 2, 47","1.00","C, 3, 47","","","","","","","","","","","","","1.00","C, 10, 47","0.99","C, 11, 47","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_USC_GPITCH","SD","Gender parity index of teachers in upper secondary education who are trained","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","1.00","C, 2, 47","1.00","C, 3, 47","","","","","","","","","","","","","1.00","C, 10, 47","1.00","C, 11, 47","","","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_LSC_TRTCHRTCH","SD","Proportion of teachers in lower secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","97.67","C, 2, 47","100.00","C, 3, 47","","","","","","","","","","","","","82.58","C, 10, 47","90.71","C, 11, 47","","","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_LSC_TRTCHRTCH","SD","Proportion of teachers in lower secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","96.23","C, 2, 47","100.00","C, 3, 47","","","","","","","","","","","","","89.39","C, 10, 47","92.65","C, 11, 47","","","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_LSC_TRTCHRTCH","SD","Proportion of teachers in lower secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","100.00","C, 2, 47","100.00","C, 3, 47","","","","","","","","","","","","","77.53","C, 10, 47","88.89","C, 11, 47","","","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_PRE_TRTCHRTCH","SD","Proportion of teachers in pre-primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","100.00","C, 2, 47","80.95","C, 3, 47","","","","","","","","","","","","","","","","","","","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_PRE_TRTCHRTCH","SD","Proportion of teachers in pre-primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","100.00","C, 2, 47","80.95","C, 3, 47","","","","","","","","","","","","","","","","","","","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_PRM_TRTCHRTCH","SD","Proportion of teachers in primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","99.05","C, 2, 47","100.00","C, 3, 47","","","","","","","","","","","","","100.00","C, 10, 47","99.51","C, 11, 47","","","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_PRM_TRTCHRTCH","SD","Proportion of teachers in primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","98.85","C, 2, 47","100.00","C, 3, 47","","","","","","","","","","","","","100.00","C, 10, 47","99.37","C, 11, 47","","","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_PRM_TRTCHRTCH","SD","Proportion of teachers in primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","100.00","C, 2, 47","100.00","C, 3, 47","","","","","","","","","","","","","100.00","C, 10, 47","100.00","C, 11, 47","","","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_USC_TRTCHRTCH","SD","Proportion of teachers in upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","100.00","C, 2, 47","100.00","C, 3, 47","","","","","","","","","","","","","100.00","C, 10, 47","100.00","C, 11, 47","","","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_USC_TRTCHRTCH","SD","Proportion of teachers in upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","100.00","C, 2, 47","100.00","C, 3, 47","","","","","","","","","","","","","100.00","C, 10, 47","100.00","C, 11, 47","","","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_USC_TRTCHRTCH","SD","Proportion of teachers in upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","100.00","C, 2, 47","100.00","C, 3, 47","","","","","","","","","","","","","100.00","C, 10, 47","100.00","C, 11, 47","","","","","",""
"6","6.1","6.1.1","C060101","Proportion of population using safely managed drinking water services","SH_H2O_SAFE","SD","Proportion of population using safely managed drinking water services","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","99.05","E, 2, 48","99.05","E, 3, 48","99.05","E, 4, 48","99.05","E, 5, 48","99.05","E, 6, 48","99.05","E, 7, 48","99.05","E, 8, 48","99.05","E, 9, 48","99.05","E, 10, 48","99.05","E, 11, 48","99.05","E, 12, 48","99.05","E, 13, 48","99.05","E, 14, 48"
"7","7.1","7.1.1","C070101","Proportion of population with access to electricity","EG_ELC_ACCS","SD","Proportion of population with access to electricity","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Other","All age ranges or no breakdown by age","Rural","Both sexes or no breakdown by sex","","Percent","Units","100.00","M, 2","100.00","M, 3","100.00","M, 4","100.00","M, 5","100.00","M, 6","100.00","M, 7","100.00","M, 8","100.00","M, 9","100.00","M, 10","100.00","M, 11","100.00","M, 12","100.00","M, 13","100.00","M, 14"
"7","7.1","7.1.1","C070101","Proportion of population with access to electricity","EG_ELC_ACCS","SD","Proportion of population with access to electricity","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","100.00","M, 2","100.00","M, 3","100.00","M, 4","100.00","M, 5","100.00","M, 6","100.00","M, 7","100.00","M, 8","100.00","M, 9","100.00","M, 10","100.00","M, 11","100.00","M, 12","100.00","M, 13","100.00","M, 14"
"7","7.1","7.1.1","C070101","Proportion of population with access to electricity","EG_ELC_ACCS","SD","Proportion of population with access to electricity","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Other","All age ranges or no breakdown by age","Urban","Both sexes or no breakdown by sex","","Percent","Units","100.00","M, 2","100.00","M, 3","100.00","M, 4","100.00","M, 5","100.00","M, 6","100.00","M, 7","100.00","M, 8","100.00","M, 9","100.00","M, 10","100.00","M, 11","100.00","M, 12","100.00","M, 13","100.00","M, 14"
"7","7.2","7.2.1","C070201","Renewable energy share in the total final energy consumption","EG_FEC_RNEW","SD","Renewable energy share in the total final energy consumption","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","0.00","NA, 2","0.00","NA, 3","0.00","NA, 4","0.00","NA, 5","0.00","NA, 6","0.00","NA, 7","0.00","NA, 8","0.00","NA, 9","0.00","NA, 10","0.00","NA, 11","0.00","NA, 12","0.00","NA, 13","0.00","NA, 14"
"9","9.4","9.4.1","C090401","CO2 emission per unit of value added","EN_ATM_CO2","+","Emissions of carbon dioxide","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Millions","0.34","C, 2, 49","0.35","C, 3, 49","0.36","C, 4, 49","0.36","C, 5, 49","0.39","C, 6, 49","0.41","C, 7, 49","0.42","C, 8, 49","0.42","C, 9, 49","0.43","C, 10, 49","0.47","C, 11, 49","0.47","C, 12, 49","0.46","C, 13, 49","0.47","C, 14, 49"
"9","9.4","9.4.1","C090401","CO2 emission per unit of value added","EN_ATM_CO2GDP","+","Emissions of carbon dioxide per unit of GDP (PPP)","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","kg CO2 equivalent per USD1 constant 2005 PPP GDP","Units","0.44","C, 2, 49","0.44","C, 3, 49","0.43","C, 4, 49","0.43","C, 5, 49","0.45","C, 6, 49","0.45","C, 7, 49","0.46","C, 8, 49","0.44","C, 9, 49","0.46","C, 10, 49","0.53","C, 11, 49","0.52","C, 12, 49","0.50","C, 13, 49","0.50","C, 14, 49"
"9","9.c","9.c.1","C090c01","Proportion of population covered by a mobile network, by technology","IT_MOB_2GNTWK","SD","Proportion of population covered by at least a 2G mobile network","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","100.00","2, 51","100.00","3, 51","100.00","4, 51","100.00","5, 51","100.00","6, 51","","","","","","","","","","","","","","","",""
"9","9.c","9.c.1","C090c01","Proportion of population covered by a mobile network, by technology","IT_MOB_3GNTWK","SD","Proportion of population covered by at least a 3G mobile network","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","100.00","9, 52","100.00","10, 52","","","","","","","",""
"9","9.c","9.c.1","C090c01","Proportion of population covered by a mobile network, by technology","IT_MOB_4GNTWK","SD","Proportion of population covered by at least a 4G mobile network","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","11.5","11.5.2","C110502","Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters","VC_DSR_AALT","+","Direct disaster economic loss, average annual loss","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","USD","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","11.5","11.5.2","C110502","Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters","VC_DSR_EXVAL","+","Direct disaster economic loss, exposed value","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","USD","Millions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_MARIN","SD","Coverage of protected areas in relation to marine areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_MARINT","+","Coverage of protected areas in relation to marine areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Square kilometers","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_TOTL","+","Coverage of protected areas in relation to marine areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Square kilometers","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","15.1","15.1.1","C150101","Forest area as a proportion of total land area","AG_LND_FRST","SD","Forest area as a proportion of total land area","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","0.00","NA, 2, 54","","","","","","","","","0.00","NA, 7, 54","","","","","","","","","0.00","NA, 12, 54","","","",""
"15","15.1","15.1.1","C150101","Forest area as a proportion of total land area","AG_LND_FRSTN","+","Forest area as a proportion of total land area","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Hectares","Units","0.00","NA, 2, 54","","","","","","","","","0.00","NA, 7, 54","","","","","","","","","0.00","NA, 12, 54","","","",""
"15","15.1","15.1.1","C150101","Forest area as a proportion of total land area","AG_LND_TOTL","+","Forest area as a proportion of total land area","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Hectares","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","5.52","C, 2, 55","5.52","C, 3, 55","5.52","C, 4, 55","5.52","C, 5, 55","34.98","C, 6, 55","34.98","C, 7, 55","34.98","C, 8, 55","34.98","C, 9, 55","34.98","C, 10, 55","34.98","C, 11, 55","34.98","C, 12, 55","34.98","C, 13, 55","34.98","C, 14, 55"
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","5.52","C, 2, 55","5.52","C, 3, 55","5.52","C, 4, 55","5.52","C, 5, 55","34.98","C, 6, 55","34.98","C, 7, 55","34.98","C, 8, 55","34.98","C, 9, 55","34.98","C, 10, 55","34.98","C, 11, 55","34.98","C, 12, 55","34.98","C, 13, 55","34.98","C, 14, 55"
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","5.52","C, 2, 55","5.52","C, 3, 55","5.52","C, 4, 55","5.52","C, 5, 55","34.98","C, 6, 55","34.98","C, 7, 55","34.98","C, 8, 55","34.98","C, 9, 55","34.98","C, 10, 55","34.98","C, 11, 55","34.98","C, 12, 55","34.98","C, 13, 55","34.98","C, 14, 55"
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTBIOM","+","Above-ground biomass in forest","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Millions","","","","","","","","","","","","","","","","","","","","","0.00","NA, 12, 54","","","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTBIOPHA","+","Above-ground biomass in forest per hectare","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Tonnes per hectare","Millions","","","","","","","","","","","","","","","","","","","","","0.00","NA, 12, 54","","","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTCERT","SD","Proportion of forest area certified under an independently verified certification scheme","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","NA, 12, 54, 62","","","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTPRCT","+","Proportion of forest area within legally established protected areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","NA, 12, 54","","","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTPRCTN","+","Forest area within legally established protected areas","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Hectares","Thousands","","","","","","","","","","","","","","","","","","","","","0.00","NA, 12, 54","","","",""
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BBND","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","31.77","NA, 11, 51","35.66","NA, 12, 52","38.56","NA, 13, 52","40.91","NA, 14, 52"
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BBNDN","+","Fixed Internet broadband Subscriptions per 100 inhabitants","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","9,297.00","NA, 11, 51","10,433.00","NA, 12, 52","11,284.00","NA, 13, 52","11,979.00","NA, 14, 52"
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD10MB","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD10MBN","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD256KL2M","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD256KL2MN","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD2L10MB","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","17.6","17.6.2","C170602","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","IT_NET_BD2L10MBN","SD","Fixed Internet broadband Subscriptions per 100 inhabitants","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","17.8","17.8.1","C170801","Proportion of individuals using the Internet","IT_USE_ii99","SD","Proportion of individuals using the Internet","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","19.13","2, 56","21.17","3, 56","23.67","4, 50","28.33","5, 50","32.89","6, 50","39.07","7, 50","45.30","8, 50","51.61","9, 52","58.00","10, 50","65.07","11, 50","65.00","12, 52","65.00","13, 52","65.02","14, 50"
"17","17.19","17.19.2","C171902","Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration","SG_REG_BRTH90N","+","Number of countries with birth registration data that are at least 90 percent complete","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","17.19","17.19.2","C171902","Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration","SG_REG_CENSUSN","+","Number of countries that have conducted at least one population and housing census in the last 10 years","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 14, 57, 65"
"17","17.19","17.19.2","C171902","Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration","SG_REG_DETH75N","+","Number of countries with death registration data that are at least 75 percent complete","M49_EUR_SE","GIB","Gibraltar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""